throughput, latency
1158.0, 247.17777777777778
199.6007984031936, 672.0194174757281
190.8548707753479, 1092.494623655914
209.16334661354583, 1568.2
213.14741035856574, 2027.1574074074074
190.47619047619048, 2409.5894736842106
204.0, 2439.135922330097
173.65269461077844, 2465.4367816091954
202.78330019880715, 2479.901960784314
227.72277227722773, 2468.0438596491226
186.87872763419483, 2447.442105263158
206.75944333996023, 2446.2038834951454
195.60878243512974, 2402.47
179.64071856287424, 2434.965909090909
227.27272727272728, 2462.2608695652175
167.33067729083666, 2463.4302325581393
220.67594433399603, 2486.02752293578
197.65166340508807, 2464.5544554455446
188.86679920477138, 2451.6631578947367
212.72365805168985, 2467.5185185185187
175.64870259481037, 2434.681818181818
210.3174603174603, 2461.603773584906
204.5889101338432, 2454.878504672897
196.22641509433961, 2434.6153846153848
224.6520874751491, 2422.6725663716816
168.0, 2409.9285714285716
203.59281437125748, 2464.2475247524753
203.88349514563106, 2458.3714285714286
191.32149901380672, 2442.656565656566
224.6520874751491, 2470.410714285714
180.55555555555554, 2428.6555555555556
196.53179190751445, 2426.6116504854367
217.13147410358565, 2433.314814814815
181.10236220472441, 2442.7634408602153
223.10756972111554, 2463.1428571428573
188.0, 2420.627659574468
209.16334661354583, 2419.714285714286
222.22222222222223, 2401.4285714285716
189.62075848303394, 2397.6382978723404
207.58483033932134, 2408.0377358490564
175.64870259481037, 2392.5287356321837
191.23505976095618, 2445.313131313131
226.64015904572565, 2465.045045045045
182.17821782178217, 2455.6
186.5079365079365, 2492.980198019802
192.74809160305344, 2495.71
200.7952286282306, 2473.3762376237623
217.3913043478261, 2483.396226415094
175.47169811320754, 2491.8279569892475
223.10756972111554, 2475.509090909091
167.3076923076923, 2455.9662921348313
201.59680638722554, 2494.3365384615386
222.66401590457255, 2499.1926605504586
167.64132553606237, 2487.0232558139537
218.93491124260356, 2494.5135135135133
177.6447105788423, 2480.820224719101
196.49805447470817, 2479.831683168317
230.61630218687873, 2478.0
184.0, 2435.5652173913045
203.18725099601593, 2456.970588235294
204.7713717693837, 2430.096153846154
189.62075848303394, 2406.7659574468084
220.703125, 2432.079646017699
189.24302788844622, 2406.15625
220.67594433399603, 2399.1454545454544
198.01980198019803, 2387.17
182.0, 2412.4444444444443
222.0, 2433.0803571428573
182.53968253968253, 2422.1521739130435
210.73558648111333, 2446.9528301886794
208.25147347740668, 2435.1809523809525
201.59680638722554, 2410.153846153846
213.57285429141717, 2403.4666666666667
179.64071856287424, 2373.6222222222223
205.5888223552894, 2418.990291262136
206.64206642066418, 2420.4464285714284
199.6007984031936, 2428.24
201.59680638722554, 2478.81
190.0, 2448.1354166666665
201.59680638722554, 2436.7821782178216
222.0, 2453.288288288288
202.35756385068763, 2404.3883495145633
207.58483033932134, 2383.4660194174758
180.74656188605107, 2369.340206185567
214.0, 2395.5098039215686
213.57285429141717, 2399.2523364485983
191.61676646706587, 2402.639175257732
216.69980119284295, 2423.814814814815
196.8503937007874, 2388.5
194.831013916501, 2395.969387755102
227.09163346613545, 2392.095652173913
175.64870259481037, 2397.6853932584268
212.0, 2422.875
201.19521912350598, 2420.3762376237623
192.0, 2415.3092783505153
224.20634920634922, 2439.4601769911505
180.0, 2398.5666666666666
219.12350597609563, 2418.6296296296296
196.5648854961832, 2385.0285714285715
190.94488188976376, 2418.0729166666665
222.0, 2424.315789473684
183.23586744639377, 2386.802197802198
201.18343195266272, 2435.6176470588234
