Upstream(kb/s), Downstream(kb/s)
0.9990009990009991, 1.0070493454179255
0.998003992015968, 0.9920634920634921
0.9970089730807579, 0.9551098376313276
1.9920318725099602, 2.055498458376156
1.9920318725099602, 1.937984496124031
1.9880715705765408, 2.002002002002002
1.9880715705765408, 1.9920318725099602
1.9920318725099602, 3.8314176245210727
1.9801980198019802, 3.937007874015748
3.9292730844793713, 3.9840637450199203
3.937007874015748, 3.937007874015748
3.9215686274509802, 3.883495145631068
3.9292730844793713, 3.898635477582846
3.937007874015748, 7.662835249042145
3.937007874015748, 7.8277886497064575
7.736943907156673, 7.393715341959334
7.766990291262136, 7.984031936127744
7.722007722007722, 7.707129094412331
7.751937984496124, 7.590132827324478
7.736943907156673, 14.869888475836431
7.751937984496124, 15.296367112810707
15.15151515151515, 15.841584158415841
15.32567049808429, 14.760147601476014
15.20912547528517, 15.655577299412915
15.238095238095237, 17.578125
15.20912547528517, 29.821073558648113
18.76172607879925, 29.761904761904763
29.069767441860463, 29.354207436399218
28.957528957528957, 30.075187969924812
29.41176470588235, 30.245746691871453
29.069767441860463, 39.29273084479371
28.90173410404624, 54.51127819548872
40.0, 63.366336633663366
55.33596837944664, 63.366336633663366
56.53021442495127, 63.116370808678504
60.78431372549019, 63.87225548902195
62.99212598425197, 79.36507936507937
62.5, 104.65116279069767
97.22222222222223, 97.60956175298804
132.0, 111.33200795228628
130.69306930693068, 71.00591715976331
128.4584980237154, 100.39370078740157
128.96825396825398, 79.15057915057915
129.4820717131474, 117.76447105788424
93.65079365079364, 98.45559845559845
119.28429423459245, 90.55118110236221
108.0, 108.52713178294573
87.64940239043824, 95.80838323353294
93.98496240601503, 111.1111111111111
104.12926391382405, 105.78842315369262
107.14285714285714, 85.38899430740038
93.39774557165862, 121.8568665377176
107.0110701107011, 72.1830985915493
103.07414104882459, 106.74157303370787
87.36059479553903, 101.53256704980842
97.43589743589745, 89.66861598440546
89.8661567877629, 112.87128712871286
107.14285714285714, 103.79241516966067
113.28125, 101.59362549800797
99.48542024013723, 104.95049504950495
104.20475319926874, 94.0
96.50582362728785, 112.0
109.64083175803403, 92.33791748526522
96.02649006622516, 102.56410256410257
102.7027027027027, 101.5625
90.9090909090909, 92.88537549407114
109.40499040307101, 111.33200795228628
109.02255639097744, 99.8003992015968
86.62900188323917, 97.80439121756487
111.53846153846153, 110.89866156787762
91.81636726546907, 88.46153846153845
104.88245931283905, 98.67172675521822
111.96911196911196, 104.74308300395256
90.37328094302553, 112.0
106.54205607476635, 93.62549800796813
99.82788296041309, 109.56175298804781
115.77181208053692, 113.17254174397031
107.80669144981412, 110.23622047244095
107.60667903525045, 107.3558648111332
120.62937062937064, 119.09262759924385
96.18573797678276, 91.08910891089108
106.22710622710622, 103.11284046692607
96.44670050761422, 100.7905138339921
104.12926391382405, 106.0
84.71454880294658, 100.7905138339921
114.62450592885375, 86.95652173913044
84.55882352941175, 106.5891472868217
88.97485493230174, 83.955223880597
103.3868092691622, 97.22222222222223
80.0, 104.95049504950495
89.14728682170542, 77.22007722007721
91.61793372319688, 89.25318761384334
101.06382978723406, 89.32038834951456
94.15584415584415, 101.5625
91.63346613545816, 100.1926782273603
109.02255639097744, 88.0
87.78625954198473, 107.3558648111332
99.31506849315069, 89.49416342412451
89.49416342412451, 103.79241516966067
87.2865275142315, 89.32038834951456
90.37328094302553, 74.0
83.48134991119007, 99.2063492063492
112.42603550295858, 88.0
99.65635738831615, 92.48554913294798
119.79166666666667, 112.84046692607004
84.24908424908425, 100.0
103.3868092691622, 114.85148514851485
109.22787193973635, 88.46153846153845
89.66861598440546, 103.58565737051792
98.80749574105623, 101.36452241715399
90.72978303747534, 99.60159362549801
103.9426523297491, 100.39370078740157
